id,Region,Year,male_participants,female_participants,total_participants,male_participation_rate,female_participation_rate
1932_USA,USA,1932,458,80,538,0.851,0.149
1936_USA,USA,1936,359,55,414,0.867,0.133
1948_USA,USA,1948,321,48,369,0.87,0.13
1952_USA,USA,1952,301,51,352,0.855,0.145
1956_USA,USA,1956,314,57,371,0.846,0.154
1960_USA,USA,1960,302,69,371,0.814,0.186
1964_USA,USA,1964,338,98,436,0.775,0.225
1968_USA,USA,1968,349,104,453,0.77,0.23
1972_USA,USA,1972,393,110,503,0.781,0.219
1976_USA,USA,1976,354,148,502,0.705,0.295
1980_USA,USA,1980,76,25,101,0.752,0.248
1984_USA,USA,1984,415,213,628,0.661,0.339
1988_USA,USA,1988,418,226,644,0.649,0.351
1992_USA,USA,1992,453,240,693,0.654,0.346
1996_USA,USA,1996,375,273,648,0.579,0.421
2000_USA,USA,2000,333,253,586,0.568,0.432
2004_USA,USA,2004,279,254,533,0.523,0.477
2008_USA,USA,2008,306,282,588,0.52,0.48
2012_USA,USA,2012,262,268,530,0.494,0.506
2016_USA,USA,2016,264,291,555,0.476,0.524
1996_UZB,UZB,1996,63,8,71,0.887,0.113
2000_UZB,UZB,2000,52,18,70,0.743,0.257
2004_UZB,UZB,2004,51,18,69,0.739,0.261
2008_UZB,UZB,2008,41,15,56,0.732,0.268
2012_UZB,UZB,2012,36,17,53,0.679,0.321
2016_UZB,UZB,2016,47,23,70,0.671,0.329
1988_VAN,VAN,1988,3,1,4,0.75,0.25
1992_VAN,VAN,1992,4,2,6,0.667,0.333
1996_VAN,VAN,1996,3,1,4,0.75,0.25
2000_VAN,VAN,2000,2,1,3,0.667,0.333
2004_VAN,VAN,2004,1,1,2,0.5,0.5
2008_VAN,VAN,2008,1,2,3,0.333,0.667
2012_VAN,VAN,2012,3,2,5,0.6,0.4
2016_VAN,VAN,2016,4,0,4,1,0
1932_VEN,VEN,1932,1,0,1,1,0
1948_VEN,VEN,1948,1,0,1,1,0
1952_VEN,VEN,1952,36,2,38,0.947,0.053
1956_VEN,VEN,1956,22,0,22,1,0
1960_VEN,VEN,1960,31,5,36,0.861,0.139
1964_VEN,VEN,1964,15,1,16,0.938,0.063
1968_VEN,VEN,1968,23,0,23,1,0
1972_VEN,VEN,1972,20,3,23,0.87,0.13
1976_VEN,VEN,1976,23,9,32,0.719,0.281
1980_VEN,VEN,1980,37,0,37,1,0
1984_VEN,VEN,1984,25,1,26,0.962,0.038
1988_VEN,VEN,1988,15,2,17,0.882,0.118
1992_VEN,VEN,1992,22,4,26,0.846,0.154
1996_VEN,VEN,1996,34,5,39,0.872,0.128
2000_VEN,VEN,2000,36,14,50,0.72,0.28
2004_VEN,VEN,2004,33,15,48,0.688,0.313
2008_VEN,VEN,2008,57,51,108,0.528,0.472
2012_VEN,VEN,2012,42,26,68,0.618,0.382
2016_VEN,VEN,2016,61,24,85,0.718,0.282
1980_VIE,VIE,1980,22,8,30,0.733,0.267
1988_VIE,VIE,1988,8,1,9,0.889,0.111
1992_VIE,VIE,1992,2,5,7,0.286,0.714
1996_VIE,VIE,1996,3,3,6,0.5,0.5
2000_VIE,VIE,2000,3,4,7,0.429,0.571
2004_VIE,VIE,2004,6,5,11,0.545,0.455
2008_VIE,VIE,2008,7,6,13,0.538,0.462
2012_VIE,VIE,2012,6,12,18,0.333,0.667
2016_VIE,VIE,2016,10,12,22,0.455,0.545
1988_VIN,VIN,1988,5,1,6,0.833,0.167
1992_VIN,VIN,1992,4,2,6,0.667,0.333
1996_VIN,VIN,1996,7,1,8,0.875,0.125
2000_VIN,VIN,2000,2,2,4,0.5,0.5
2004_VIN,VIN,2004,2,1,3,0.667,0.333
2008_VIN,VIN,2008,1,1,2,0.5,0.5
2012_VIN,VIN,2012,2,1,3,0.667,0.333
2016_VIN,VIN,2016,2,2,4,0.5,0.5
1952_VNM,VNM,1952,8,0,8,1,0
1956_VNM,VNM,1956,6,0,6,1,0
1960_VNM,VNM,1960,3,0,3,1,0
1964_VNM,VNM,1964,16,0,16,1,0
1968_VNM,VNM,1968,7,2,9,0.778,0.222
1972_VNM,VNM,1972,2,0,2,1,0
1960_WIF,WIF,1960,13,0,13,1,0
1984_YAR,YAR,1984,2,0,2,1,0
1988_YAR,YAR,1988,8,0,8,1,0
1992_YEM,YEM,1992,8,0,8,1,0
1996_YEM,YEM,1996,4,0,4,1,0
2000_YEM,YEM,2000,1,1,2,0.5,0.5
2004_YEM,YEM,2004,3,0,3,1,0
2008_YEM,YEM,2008,4,1,5,0.8,0.2
2012_YEM,YEM,2012,3,1,4,0.75,0.25
2016_YEM,YEM,2016,2,1,3,0.667,0.333
1988_YMD,YMD,1988,5,0,5,1,0
1920_YUG,YUG,1920,15,0,15,1,0
1924_YUG,YUG,1924,46,0,46,1,0
1928_YUG,YUG,1928,40,0,40,1,0
1932_YUG,YUG,1932,1,0,1,1,0
1936_YUG,YUG,1936,95,15,110,0.864,0.136
1948_YUG,YUG,1948,96,11,107,0.897,0.103
1952_YUG,YUG,1952,81,12,93,0.871,0.129
1956_YUG,YUG,1956,44,8,52,0.846,0.154
1960_YUG,YUG,1960,107,9,116,0.922,0.078
1964_YUG,YUG,1964,101,5,106,0.953,0.047
1968_YUG,YUG,1968,88,11,99,0.889,0.111
1972_YUG,YUG,1972,139,13,152,0.914,0.086
1976_YUG,YUG,1976,110,6,116,0.948,0.052
1980_YUG,YUG,1980,147,32,179,0.821,0.179
1984_YUG,YUG,1984,164,47,211,0.777,0.223
1988_YUG,YUG,1988,133,44,177,0.751,0.249
1992_YUG,YUG,1992,22,3,25,0.88,0.12
1964_ZAM,ZAM,1964,11,1,12,0.917,0.083
1968_ZAM,ZAM,1968,7,0,7,1,0
1972_ZAM,ZAM,1972,8,3,11,0.727,0.273
1980_ZAM,ZAM,1980,37,0,37,1,0
1984_ZAM,ZAM,1984,16,0,16,1,0
1988_ZAM,ZAM,1988,29,0,29,1,0
1992_ZAM,ZAM,1992,8,1,9,0.889,0.111
1996_ZAM,ZAM,1996,7,1,8,0.875,0.125
2000_ZAM,ZAM,2000,6,2,8,0.75,0.25
2004_ZAM,ZAM,2004,4,2,6,0.667,0.333
2008_ZAM,ZAM,2008,6,2,8,0.75,0.25
2012_ZAM,ZAM,2012,5,2,7,0.714,0.286
2016_ZAM,ZAM,2016,5,2,7,0.714,0.286
1928_ZIM,ZIM,1928,2,0,2,1,0
1960_ZIM,ZIM,1960,0,4,4,0,1
1964_ZIM,ZIM,1964,25,4,29,0.862,0.138
1980_ZIM,ZIM,1980,23,19,42,0.548,0.452
1984_ZIM,ZIM,1984,12,3,15,0.8,0.2
1988_ZIM,ZIM,1988,23,6,29,0.793,0.207
1992_ZIM,ZIM,1992,10,9,19,0.526,0.474
1996_ZIM,ZIM,1996,12,1,13,0.923,0.077
2000_ZIM,ZIM,2000,11,5,16,0.688,0.313
2004_ZIM,ZIM,2004,9,3,12,0.75,0.25
2008_ZIM,ZIM,2008,8,5,13,0.615,0.385
2012_ZIM,ZIM,2012,4,3,7,0.571,0.429
2016_ZIM,ZIM,2016,9,21,30,0.3,0.7
2020_AFG,AFG,2020,8,2,10,0.8,0.2
2020_ALB,ALB,2020,12,6,18,0.667,0.333
2020_ALG,ALG,2020,50,26,76,0.658,0.342
2020_AND,AND,2020,2,2,4,0.5,0.5
2020_ANG,ANG,2020,8,32,40,0.2,0.8
2020_ANT,ANT,2020,6,6,12,0.5,0.5
2020_ARG,ARG,2020,254,116,370,0.686,0.314
2020_ARM,ARM,2020,28,6,34,0.824,0.176
2020_ARU,ARU,2020,4,2,6,0.667,0.333
2020_ASA,ASA,2020,10,2,12,0.833,0.167
2020_AUS,AUS,2020,444,514,958,0.463,0.537
2020_AUT,AUT,2020,72,74,146,0.493,0.507
2020_AZE,AZE,2020,56,32,88,0.636,0.364
2020_BAH,BAH,2020,12,18,30,0.4,0.6
2020_BAN,BAN,2020,8,4,12,0.667,0.333
2020_BAR,BAR,2020,8,8,16,0.5,0.5
2020_BDI,BDI,2020,6,6,12,0.5,0.5
2020_BEL,BEL,2020,138,109,247,0.559,0.441
2020_BEN,BEN,2020,8,6,14,0.571,0.429
2020_BER,BER,2020,2,2,4,0.5,0.5
2020_BHU,BHU,2020,4,4,8,0.5,0.5
2020_BIH,BIH,2020,8,6,14,0.571,0.429
2020_BIZ,BIZ,2020,4,2,6,0.667,0.333
2020_BLR,BLR,2020,90,116,206,0.437,0.563
2020_BOL,BOL,2020,6,4,10,0.6,0.4
2020_BOT,BOT,2020,16,10,26,0.615,0.385
2020_BRA,BRA,2020,328,292,620,0.529,0.471
2020_BRN,BRN,2020,50,14,64,0.781,0.219
2020_BRU,BRU,2020,4,0,4,1,0
2020_BUL,BUL,2020,28,56,84,0.333,0.667
2020_BUR,BUR,2020,10,4,14,0.714,0.286
2020_CAF,CAF,2020,2,2,4,0.5,0.5
2020_CAM,CAM,2020,4,2,6,0.667,0.333
2020_CAN,CAN,2020,296,460,756,0.392,0.608
2020_CAY,CAY,2020,4,6,10,0.4,0.6
2020_CGO,CGO,2020,2,4,6,0.333,0.667
2020_CHA,CHA,2020,2,4,6,0.333,0.667
2020_CHI,CHI,2020,40,62,102,0.392,0.608
2020_CHN,CHN,2020,250,570,820,0.305,0.695
2020_CIV,CIV,2020,40,12,52,0.769,0.231
2020_CMR,CMR,2020,10,14,24,0.417,0.583
2020_COD,COD,2020,6,6,12,0.5,0.5
2020_COK,COK,2020,6,6,12,0.5,0.5
2020_COL,COL,2020,90,44,134,0.672,0.328
2020_COM,COM,2020,4,2,6,0.667,0.333
2020_CPV,CPV,2020,6,6,12,0.5,0.5
2020_CRC,CRC,2020,10,16,26,0.385,0.615
2020_CRO,CRO,2020,80,40,120,0.667,0.333
2020_CUB,CUB,2020,70,64,134,0.522,0.478
2020_CYP,CYP,2020,18,12,30,0.6,0.4
2020_CZE,CZE,2020,140,78,218,0.642,0.358
2020_DEN,DEN,2020,110,98,208,0.529,0.471
2020_DJI,DJI,2020,6,2,8,0.75,0.25
2020_DMA,DMA,2020,2,2,4,0.5,0.5
2020_DOM,DOM,2020,84,46,130,0.646,0.354
2020_ECU,ECU,2020,34,58,92,0.37,0.63
2020_EGY,EGY,2020,178,96,274,0.65,0.35
2020_EOR,EOR,2020,38,20,58,0.655,0.345
2020_ERI,ERI,2020,16,10,26,0.615,0.385
2020_ESA,ESA,2020,6,4,10,0.6,0.4
2020_ESP,ESP,2020,380,276,656,0.579,0.421
2020_EST,EST,2020,38,28,66,0.576,0.424
2020_ETH,ETH,2020,34,38,72,0.472,0.528
2020_FIJ,FIJ,2020,32,32,64,0.5,0.5
2020_FIN,FIN,2020,44,46,90,0.489,0.511
2020_FRA,FRA,2020,425,336,761,0.558,0.442
2020_FSM,FSM,2020,4,2,6,0.667,0.333
2020_GAB,GAB,2020,6,4,10,0.6,0.4
2020_GAM,GAM,2020,6,2,8,0.75,0.25
2020_GBR,GBR,2020,356,394,750,0.475,0.525
2020_GBS,GBS,2020,6,2,8,0.75,0.25
2020_GEO,GEO,2020,56,10,66,0.848,0.152
2020_GEQ,GEQ,2020,4,2,6,0.667,0.333
2020_GER,GER,2020,469,318,787,0.596,0.404
2020_GHA,GHA,2020,20,4,24,0.833,0.167
2020_GRE,GRE,2020,90,60,150,0.6,0.4
2020_GRN,GRN,2020,8,4,12,0.667,0.333
2020_GUA,GUA,2020,28,20,48,0.583,0.417
2020_GUI,GUI,2020,4,4,8,0.5,0.5
2020_GUM,GUM,2020,4,6,10,0.4,0.6
2020_GUY,GUY,2020,6,8,14,0.429,0.571
2020_HAI,HAI,2020,4,8,12,0.333,0.667
2020_HKG,HKG,2020,34,52,86,0.395,0.605
2020_HON,HON,2020,42,4,46,0.913,0.087
2020_HUN,HUN,2020,162,182,344,0.471,0.529
2020_INA,INA,2020,32,24,56,0.571,0.429
2020_IND,IND,2020,134,106,240,0.558,0.442
2020_IRI,IRI,2020,110,20,130,0.846,0.154
2020_IRL,IRL,2020,126,114,240,0.525,0.475
2020_IRQ,IRQ,2020,4,2,6,0.667,0.333
2020_ISL,ISL,2020,6,2,8,0.75,0.25
2020_ISR,ISR,2020,110,68,178,0.618,0.382
2020_ISV,ISV,2020,6,2,8,0.75,0.25
2020_ITA,ITA,2020,378,356,734,0.515,0.485
2020_IVB,IVB,2020,2,4,6,0.333,0.667
2020_JAM,JAM,2020,48,60,108,0.444,0.556
2020_JOR,JOR,2020,20,8,28,0.714,0.286
2020_JPN,JPN,2020,628,572,1200,0.523,0.477
2020_KAZ,KAZ,2020,128,66,194,0.66,0.34
2020_KEN,KEN,2020,72,98,170,0.424,0.576
2020_KGZ,KGZ,2020,22,10,32,0.688,0.313
2020_KIR,KIR,2020,4,2,6,0.667,0.333
2020_KOR,KOR,2020,260,210,470,0.553,0.447
2020_KOS,KOS,2020,10,12,22,0.455,0.545
2020_KSA,KSA,2020,58,4,62,0.935,0.065
2020_KUW,KUW,2020,16,4,20,0.8,0.2
2020_LAO,LAO,2020,4,4,8,0.5,0.5
2020_LAT,LAT,2020,38,26,64,0.594,0.406
2020_LBA,LBA,2020,6,2,8,0.75,0.25
2020_LBN,LBN,2020,6,6,12,0.5,0.5
2020_LBR,LBR,2020,4,2,6,0.667,0.333
2020_LCA,LCA,2020,4,6,10,0.4,0.6
2020_LES,LES,2020,2,2,4,0.5,0.5
2020_LIE,LIE,2020,4,6,10,0.4,0.6
2020_LTU,LTU,2020,52,32,84,0.619,0.381
2020_LUX,LUX,2020,16,8,24,0.667,0.333
2020_MAD,MAD,2020,8,4,12,0.667,0.333
2020_MAR,MAR,2020,60,28,88,0.682,0.318
2020_MAS,MAS,2020,24,36,60,0.4,0.6
2020_MAW,MAW,2020,4,6,10,0.4,0.6
2020_MDA,MDA,2020,18,22,40,0.45,0.55
2020_MDV,MDV,2020,4,4,8,0.5,0.5
2020_MEX,MEX,2020,190,130,320,0.594,0.406
2020_MGL,MGL,2020,36,50,86,0.419,0.581
2020_MHL,MHL,2020,2,2,4,0.5,0.5
2020_MKD,MKD,2020,10,6,16,0.625,0.375
2020_MLI,MLI,2020,6,2,8,0.75,0.25
2020_MLT,MLT,2020,4,8,12,0.333,0.667
2020_MNE,MNE,2020,32,36,68,0.471,0.529
2020_MON,MON,2020,6,6,12,0.5,0.5
2020_MOZ,MOZ,2020,8,12,20,0.4,0.6
2020_MRI,MRI,2020,12,4,16,0.75,0.25
2020_MTN,MTN,2020,2,2,4,0.5,0.5
2020_MYA,MYA,2020,2,2,4,0.5,0.5
2020_NA,NA,2020,12109,10966,23075,0.525,0.475
2020_NAM,NAM,2020,10,12,22,0.455,0.545
2020_NCA,NCA,2020,8,8,16,0.5,0.5
2020_NED,NED,2020,225,311,536,0.42,0.58
2020_NEP,NEP,2020,2,8,10,0.2,0.8
2020_NGR,NGR,2020,48,58,106,0.453,0.547
2020_NIG,NIG,2020,8,6,14,0.571,0.429
2020_NOR,NOR,2020,118,68,186,0.634,0.366
2020_NRU,NRU,2020,2,2,4,0.5,0.5
2020_NZL,NZL,2020,226,204,430,0.526,0.474
2020_OMA,OMA,2020,8,2,10,0.8,0.2
2020_PAK,PAK,2020,14,6,20,0.7,0.3
2020_PAN,PAN,2020,8,12,20,0.4,0.6
2020_PAR,PAR,2020,6,10,16,0.375,0.625
2020_PER,PER,2020,38,32,70,0.543,0.457
2020_PHI,PHI,2020,18,20,38,0.474,0.526
2020_PLE,PLE,2020,6,4,10,0.6,0.4
2020_PLW,PLW,2020,4,2,6,0.667,0.333
2020_PNG,PNG,2020,8,8,16,0.5,0.5
2020_POL,POL,2020,216,196,412,0.524,0.476
2020_POR,POR,2020,112,72,184,0.609,0.391
2020_PUR,PUR,2020,26,48,74,0.351,0.649
2020_QAT,QAT,2020,26,4,30,0.867,0.133
2020_ROC,ROC,2020,294,375,669,0.439,0.561
2020_ROU,ROU,2020,114,90,204,0.559,0.441
2020_RSA,RSA,2020,230,124,354,0.65,0.35
2020_RWA,RWA,2020,6,4,10,0.6,0.4
2020_SAM,SAM,2020,14,2,16,0.875,0.125
2020_SEN,SEN,2020,12,6,18,0.667,0.333
2020_SEY,SEY,2020,8,2,10,0.8,0.2
2020_SGP,SGP,2020,12,34,46,0.261,0.739
2020_SKN,SKN,2020,2,2,4,0.5,0.5
2020_SLE,SLE,2020,2,4,6,0.333,0.667
2020_SLO,SLO,2020,56,50,106,0.528,0.472
2020_SMR,SMR,2020,6,4,10,0.6,0.4
2020_SOL,SOL,2020,2,4,6,0.333,0.667
2020_SOM,SOM,2020,2,2,4,0.5,0.5
2020_SRB,SRB,2020,86,88,174,0.494,0.506
2020_SRI,SRI,2020,8,10,18,0.444,0.556
2020_SSD,SSD,2020,2,2,4,0.5,0.5
2020_STP,STP,2020,4,2,6,0.667,0.333
2020_SUD,SUD,2020,4,4,8,0.5,0.5
2020_SUI,SUI,2020,118,108,226,0.522,0.478
2020_SUR,SUR,2020,4,0,4,1,0
2020_SVK,SVK,2020,54,28,82,0.659,0.341
2020_SWE,SWE,2020,110,156,266,0.414,0.586
2020_SWZ,SWZ,2020,6,2,8,0.75,0.25
2020_SYR,SYR,2020,10,2,12,0.833,0.167
2020_TAN,TAN,2020,4,2,6,0.667,0.333
2020_TGA,TGA,2020,6,6,12,0.5,0.5
2020_THA,THA,2020,30,52,82,0.366,0.634
2020_TJK,TJK,2020,18,2,20,0.9,0.1
2020_TKM,TKM,2020,10,8,18,0.556,0.444
2020_TLS,TLS,2020,4,2,6,0.667,0.333
2020_TOG,TOG,2020,6,2,8,0.75,0.25
2020_TPE,TPE,2020,66,70,136,0.485,0.515
2020_TTO,TTO,2020,30,20,50,0.6,0.4
2020_TUN,TUN,2020,68,58,126,0.54,0.46
2020_TUR,TUR,2020,112,98,210,0.533,0.467
2020_TUV,TUV,2020,2,2,4,0.5,0.5
2020_UAE,UAE,2020,10,0,10,1,0
2020_UGA,UGA,2020,24,26,50,0.48,0.52
2020_UKR,UKR,2020,128,170,298,0.43,0.57
2020_URU,URU,2020,12,10,22,0.545,0.455
2020_USA,USA,2020,570,673,1243,0.459,0.541
2020_UZB,UZB,2020,74,60,134,0.552,0.448
2020_VAN,VAN,2020,6,0,6,1,0
2020_VEN,VEN,2020,60,26,86,0.698,0.302
2020_VIE,VIE,2020,16,20,36,0.444,0.556
2020_VIN,VIN,2020,2,4,6,0.333,0.667
2020_YEM,YEM,2020,6,4,10,0.6,0.4
2020_ZAM,ZAM,2020,12,42,54,0.222,0.778
2020_ZIM,ZIM,2020,8,2,10,0.8,0.2
